City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
197,Abu Kamal,34.4506,40.9171,52.11,28,0,10.69,SY,clear sky
198,Vila Franca Do Campo,37.7167,-25.4333,57.2,72,20,8.05,PT,few clouds
199,Bilibino,68.0546,166.4372,-14.08,95,24,2.73,RU,few clouds
200,Bukene,-4.2333,32.8833,64.83,89,100,3.22,TZ,light rain
201,Dauphin,51.1494,-100.0502,35.6,55,75,14.97,CA,broken clouds
202,Qaqortoq,60.7167,-46.0333,10.4,37,75,4.61,GL,broken clouds
203,Chenghai,23.4632,116.768,66.2,94,10,2.24,CN,mist
204,Luderitz,-26.6481,15.1594,65.86,70,0,17.52,NA,clear sky
205,Pisco,-13.7,-76.2167,73.4,68,20,9.22,PE,few clouds
206,Chapulhuacan,21.1667,-98.9,92.39,19,6,7.9,MX,clear sky
207,Victoria,22.2855,114.1577,73.99,86,16,4.38,HK,few clouds
208,Bluff,-46.6,168.3333,57.0,95,100,3.0,NZ,overcast clouds
209,Karpathos,35.507,27.2132,53.6,54,0,11.5,GR,clear sky
210,Cayenne,4.9333,-52.3333,82.4,74,40,13.8,GF,scattered clouds
211,Bengkulu,-3.8004,102.2655,74.66,88,100,6.64,ID,overcast clouds
212,Qazvin,36.2797,50.0049,44.6,33,0,2.3,IR,clear sky
213,Belaya Gora,68.5333,146.4167,-5.57,97,100,2.89,RU,overcast clouds
214,Durban,-29.8579,31.0292,72.0,68,0,11.5,ZA,light rain
215,Windhoek,-22.5594,17.0832,64.99,59,0,5.75,NA,clear sky
216,Honiara,-9.4333,159.95,81.75,76,19,4.18,SB,few clouds
217,Nome,64.5011,-165.4064,5.0,85,1,0.85,US,clear sky
218,Asau,46.4333,26.4,42.01,46,14,5.5,RO,few clouds
219,Axim,4.8699,-2.2405,79.12,85,83,4.61,GH,broken clouds
220,Hafizabad,32.0679,73.6854,69.85,36,26,6.8,PK,scattered clouds
221,Airai,-8.9266,125.4092,59.5,92,100,2.53,TL,overcast clouds
222,Uzhur,55.3036,89.8339,23.47,92,100,4.41,RU,overcast clouds
223,Atbasar,51.8,68.3333,27.54,97,100,2.91,KZ,overcast clouds
224,Geraldton,-28.7667,114.6,62.6,72,8,9.22,AU,clear sky
225,Ambilobe,-13.2,49.05,72.86,97,100,4.81,MG,moderate rain
226,Naze,28.3667,129.4833,67.46,88,100,19.84,JP,overcast clouds
227,Petropavlovsk-Kamchatskiy,53.0452,158.6483,28.4,46,100,26.84,RU,overcast clouds
228,Esperance,-33.8667,121.9,57.2,94,36,6.91,AU,scattered clouds
229,Bauchi,10.5,10.0,76.62,17,6,9.15,NG,clear sky
230,Coihaique,-45.5752,-72.0662,64.4,55,75,8.05,CL,broken clouds
231,Broome,42.2506,-75.833,60.01,54,1,4.61,US,clear sky
232,Milkovo,54.7167,158.6167,18.91,92,100,4.45,RU,light snow
233,Quchan,37.106,58.5095,53.67,66,85,6.29,IR,overcast clouds
234,Kashi,39.4547,75.9797,59.0,25,75,2.24,CN,dust
235,Vila,42.0304,-8.1588,55.99,62,0,2.3,PT,clear sky
236,Banyo,6.75,11.8167,72.32,34,100,4.27,CM,overcast clouds
237,Hirara,24.8,125.2833,73.9,87,25,15.61,JP,scattered clouds
238,Gizo,-8.103,156.8419,82.83,74,39,7.49,SB,scattered clouds
239,Codrington,-38.2667,141.9667,53.13,87,100,6.53,AU,overcast clouds
240,Cabo San Lucas,22.8909,-109.9124,78.8,43,20,6.91,MX,few clouds
241,East London,-33.0153,27.9116,66.87,76,87,12.68,ZA,light rain
242,Lagoa,39.05,-27.9833,59.22,89,33,11.63,PT,scattered clouds
243,Husavik,66.0449,-17.3389,19.4,63,75,4.61,IS,light snow
244,Galle,6.0367,80.217,77.4,85,100,1.07,LK,overcast clouds
