City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
556,Darab,IR,67.53,overcast clouds,28.7519,54.5444,Naghshe shapoor Hotel
561,Eyl,SO,78.4,overcast clouds,7.9803,49.8164,Amiin Hotel
562,Biltine,TD,79.52,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
567,Edea,CM,78.8,few clouds,3.8,10.1333,Micotel Hotel
569,Ipora,BR,77.54,few clouds,-16.4419,-51.1178,Oásis Motel
570,Camacha,PT,64.4,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
576,Kaeo,NZ,69.01,overcast clouds,-35.1,173.7833,Bushido Lodge
578,Kununurra,AU,78.8,broken clouds,-15.7667,128.7333,Hotel Kununurra
579,Sinnamary,GF,78.6,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
580,Elizabeth City,US,68.0,overcast clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
583,Assomada,CV,69.8,few clouds,15.1,-23.6833,Residencial Cosmos
586,Jawhar,SO,78.58,overcast clouds,2.7809,45.5005,cosoble spare parts
590,Kikwit,CD,71.44,clear sky,-5.041,18.8162,Guest L'Amour
593,Clarence Town,AU,60.01,broken clouds,-32.5833,151.7833,River Downs Cottage
597,Cairns,AU,75.2,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
598,Cochabamba,BO,73.4,scattered clouds,-17.3895,-66.1568,Violetta's Apart Hotel
599,Zeerust,ZA,60.8,scattered clouds,-25.5369,26.0751,Kareespruit Game Ranch and Guest House
600,Acarau,BR,77.72,broken clouds,-2.8856,-40.12,castelo pizzaria
601,Totness,SR,79.03,scattered clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
605,Luwuk,ID,77.22,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
608,Ifakara,TZ,72.39,overcast clouds,-8.1333,36.6833,Tanzanian Training Centre for International Health
617,Kailua,US,78.8,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
618,Shahr-E Babak,IR,62.2,clear sky,30.1165,55.1186,اقامتگاه گردشگری دوناdunagarden ecolodge
621,Kuito,AO,62.83,light rain,-12.3833,16.9333,Herdeiros de Antunes Capusso
622,Hervey Bay,AU,69.01,clear sky,-25.2986,152.8535,Shelly Bay Resort
624,Nouadhibou,MR,66.2,clear sky,20.931,-17.0347,El Medina
627,Takoradi,GH,79.56,overcast clouds,4.8845,-1.7554,Raybow International Hotel
636,Balikpapan,ID,73.54,heavy intensity rain,-1.2675,116.8289,ibis Balikpapan
641,Altamont,US,62.01,clear sky,42.2068,-121.7372,Microtel Inn & Suites by Wyndham Klamath Falls
644,Ormara,PK,77.41,overcast clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
645,Maralal,KE,62.2,overcast clouds,1.0968,36.698,Ngari Hill Ecolodge
651,Souillac,MU,77.0,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
653,Caucaia,BR,78.8,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
661,Diamantino,BR,79.65,scattered clouds,-14.4086,-56.4461,Hotel Delta
662,Watertown,US,62.01,clear sky,42.3709,-71.1828,Super 8 by Wyndham Watertown/Cambridge/Boston Area
663,Ginir,ET,61.05,overcast clouds,7.1333,40.7,Sura Dare Village
664,Ejura,GH,79.84,moderate rain,7.3856,-1.3562,Fire Servece
665,Brownsburg,US,73.99,clear sky,39.8434,-86.3978,Hampton Inn & Suites Indianapolis/Brownsburg
666,Xai-Xai,MZ,77.22,scattered clouds,-25.0519,33.6442,Complexo da Familia
667,Uyuni,BO,62.08,scattered clouds,-20.4597,-66.825,Hostal La Magia de Uyuni
668,Biak,ID,76.28,overcast clouds,-0.9131,122.8766,Penginapan Kim
672,Christchurch,NZ,72.0,scattered clouds,-43.5333,172.6333,The George
677,Alim,PH,78.94,overcast clouds,9.5649,122.4876,Calamai Tropica
678,Uige,AO,67.17,broken clouds,-7.6087,15.0613,Juliao Pereira
679,Bako,ET,69.91,overcast clouds,5.7833,36.5667,Goh Hotel
680,Davila,PH,78.51,broken clouds,18.4726,120.5763,Blue Ridge Beach Resort
681,Hualmay,PE,73.69,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
683,Kualakapuas,ID,75.2,overcast clouds,-3.0091,114.3876,Guest House Izonk
684,Pokhara,NP,64.26,clear sky,28.2333,83.9833,Butterfly Lodge
685,Rocha,UY,71.37,overcast clouds,-34.4833,-54.3333,Beleza Pura B&B
692,Yenagoa,NG,79.23,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
700,Inhambane,MZ,71.91,clear sky,-23.865,35.3833,Oceano
